protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach,7,10,48,62.73803650504853,1.0456339417508087,35,35,1.0,0.6015288854600065,1.0,1.0,1.0,0.8299829998319757,36.412678195541844,0.6960324829518961,2
leach,7,11,42,53.70100471382964,0.895016745230494,32,26,0.8125,0.6015288854600065,1.0,1.0,1.0,0.8136947272729383,36.787447008744266,0.657530492121843,2
leach,7,12,37,48.3248445779554,0.8054140762992568,30,25,0.8333333333333334,0.6015288854600065,1.0,1.0,1.0,0.8103529173026028,36.97632074113926,0.6758835679010218,2
leach,7,13,32,44.351694777963694,0.7391949129660615,28,23,0.8214285714285714,0.6015288854600065,1.0,0.5,1.0,0.8828128674687356,36.97632074113926,0.6204689810294737,2
leach,7,14,32,42.703007130334626,0.7117167855055772,21,11,0.5238095238095238,0.6015398443131452,1.0,1.0,1.0,0.8614555967373831,36.787447008744266,0.6245699089292198,2
leach,7,15,31,41.41421128573897,0.6902368547623162,23,10,0.43478260869565216,0.6015398443131452,1.0,1.0,1.0,0.8566018206290067,36.412678195541844,0.6774926182725226,2
leach,7,16,29,39.882805505986006,0.6647134250997667,26,12,0.46153846153846156,0.6015398443131452,1.0,0.0,1.0,0.8771600584093249,35.85792462959223,0.7464881827482202,2
leach,7,17,29,39.914351295517896,0.6652391882586316,21,0,0.0,0.0,0.0,0.0,0.0,0.8773202011661272,35.13193510602418,0.7217954823047213,2
leach,7,18,29,39.946936198150865,0.6657822699691811,17,0,0.0,0.0,0.0,0.0,0.0,0.8774725964811873,34.24615891330947,0.688754000896187,2
leach,7,19,29,39.981125850197834,0.6663520975032973,24,0,0.0,0.0,0.0,0.0,0.0,0.8776358074870116,33.21456527114427,0.7080164770454423,2
leach,7,20,29,38.18391628460277,0.6363986047433795,16,16,1.0,0.6008696434662463,1.0,1.0,1.0,0.8562299473277062,32.05342302750968,0.6186667912748216,1
leach,7,21,28,35.44178901325268,0.5906964835542113,21,20,0.9523809523809523,0.6008696434662463,1.0,1.0,1.0,0.8557596239282931,30.781044089220583,0.6411928602713962,1
