fnd_round,hnd_round,final_alive_nodes,total_energy_consumed_j,packet_delivery_ratio,mean_latency_ms,mean_hops,mean_routing_success,mean_energy_fairness,delivered_bits_per_joule,protocol,seed,rounds_executed
1,16,17,102.70983737333297,0.8601735776277725,0.5648714424757447,0.94,0.9033333333333333,0.8717058030141501,34738.63936743391,leach,7,50
9,50,41,74.48954523082259,0.9686147186147186,0.6010881823476709,1.0,0.9866666666666666,0.9126534568914666,96120.87142985142,leach_c,7,50
9,50,50,43.979261999598606,0.9155672823218998,0.8402544726994722,1.4000000000000004,0.0,0.9461444920278314,157801.64751430665,proposed,7,50
