fnd_round,hnd_round,final_alive_nodes,total_energy_consumed_j,packet_delivery_ratio,mean_latency_ms,mean_hops,mean_routing_success,mean_energy_fairness,delivered_bits_per_joule,protocol,seed,rounds_executed
2,12,18,36.604413078427875,0.9436619718309859,0.6008996255573643,1.0,1.0,0.8828377335815393,21964.564717302415,leach,1,12
3,12,21,26.2563396719464,0.957345971563981,0.6006516712132465,1.0,1.0,0.9473948033721816,30773.520227699828,leach_c,1,12
5,12,21,25.17009287801698,0.8705357142857143,0.40005974904992797,0.6666666666666666,0.0,0.9426860429941236,30989.15859310298,proposed,1,12
