protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach,1,0,30,56.7587209341131,1.8919573644704366,21,21,1.0,0.6006971089720239,1.0,1.0,1.0,0.986938043310487,25.0,0.6905679769527058,2
leach,1,1,30,53.292117646107016,1.7764039215369005,22,22,1.0,0.6006971089720239,1.0,1.0,1.0,0.9667339686662533,31.0,0.6677427373634561,2
leach,1,2,29,50.45188266144473,1.6817294220481576,21,20,0.9523809523809523,0.6006971089720239,1.0,1.0,1.0,0.9491070940007768,35.392304845413264,0.7029331643395911,2
leach,1,3,29,47.943160066956544,1.5981053355652182,20,20,1.0,0.6006971089720239,1.0,1.0,1.0,0.9119014733895945,37.0,0.6575380966998919,2
leach,1,4,28,42.514306385436036,1.4171435461812012,16,15,0.9375,0.6009674855592506,1.0,1.0,1.0,0.8899039339801256,35.392304845413264,0.697536352008296,1
leach,1,5,28,37.2495898288269,1.24165299429423,15,15,1.0,0.6009674855592506,1.0,1.0,1.0,0.8116811677681738,31.0,0.6830968308284706,1
leach,1,6,25,33.815643262190235,1.1271881087396745,17,14,0.8235294117647058,0.6009674855592506,1.0,1.0,1.0,0.8368329071605856,25.0,0.6974349901414972,1
leach,1,7,25,30.863357318073124,1.028778577269104,16,16,1.0,0.6009674855592506,1.0,1.0,1.0,0.7739546202413232,19.000000000000004,0.7322594423261494,1
leach,1,8,20,27.62502581351268,0.920834193783756,22,17,0.7727272727272727,0.6010342821408183,1.0,1.0,1.0,0.8637325589861164,14.60769515458674,0.7153845781478604,1
leach,1,9,20,26.343938315162966,0.8781312771720988,13,13,1.0,0.6010342821408183,1.0,1.0,1.0,0.8549161369889606,13.0,0.6153695821888376,1
leach,1,10,19,24.895488395059992,0.8298496131686665,13,12,0.9230769230769231,0.6010342821408183,1.0,1.0,1.0,0.8665664640131536,14.607695154586736,0.6265554219988807,1
leach,1,11,18,23.395586921572125,0.7798528973857375,17,16,0.9411764705882353,0.6010342821408183,1.0,1.0,1.0,0.8817844344729218,18.999999999999993,0.707117653336027,1
leach_c,1,0,30,57.71380000028621,1.9237933333428738,20,20,1.0,0.6009910867276825,1.0,1.0,1.0,0.9922204447294208,25.0,0.6905679769527058,2
leach_c,1,1,30,55.9208151717589,1.8640271723919635,22,22,1.0,0.6009910867276825,1.0,1.0,1.0,0.9815968253899203,31.0,0.6677427373634561,2
leach_c,1,2,30,53.196052297207245,1.7732017432402416,20,20,1.0,0.6009910867276825,1.0,1.0,1.0,0.9445807007840459,35.392304845413264,0.7029331643395911,2
leach_c,1,3,29,52.021707663931025,1.7340569221310342,20,19,0.95,0.6009910867276825,1.0,1.0,1.0,0.9583106753689378,37.0,0.6575380966998919,2
leach_c,1,4,27,46.32702286594231,1.5442340955314104,18,16,0.8888888888888888,0.6006466092862224,1.0,1.0,1.0,0.9461897306321709,35.392304845413264,0.7067056434642314,1
leach_c,1,5,27,45.11935691814413,1.5039785639381376,14,14,1.0,0.6006466092862224,1.0,1.0,1.0,0.9289256355480306,31.0,0.658206723430515,1
leach_c,1,6,25,42.83933366335492,1.4279777887784975,17,15,0.8823529411764706,0.6006466092862224,1.0,1.0,1.0,0.9376046430277061,25.0,0.6974349901414972,1
leach_c,1,7,24,37.59392152994529,1.253130717664843,17,16,0.9411764705882353,0.6006466092862224,1.0,1.0,1.0,0.8761641573417132,19.000000000000004,0.7277487540538606,1
leach_c,1,8,21,36.155460838698794,1.2051820279566265,19,16,0.8421052631578947,0.6003173176258343,1.0,1.0,1.0,0.9667653704385358,14.60769515458674,0.7213163073784613,1
leach_c,1,9,21,35.5373100397609,1.1845770013253631,14,14,1.0,0.6003173176258343,1.0,1.0,1.0,0.9581304266247992,13.0,0.6000884678933652,1
leach_c,1,10,21,34.76390965962365,1.1587969886541216,13,13,1.0,0.6003173176258343,1.0,1.0,1.0,0.9473950796475362,14.607695154586736,0.6282912607382666,1
leach_c,1,11,21,33.7436603280536,1.1247886776017866,17,17,1.0,0.6003173176258343,1.0,1.0,1.0,0.9308539509333631,18.999999999999993,0.7187144334146596,1
proposed,1,0,30,58.41012251447861,1.9470040838159537,18,16,0.8888888888888888,0.300044811787446,0.5,0.0,0.3856003388933286,0.9945249737265607,25.0,0.6905679769527058,2
proposed,1,1,30,57.44983790655174,1.9149945968850581,22,20,0.9090909090909091,0.300044811787446,0.5,0.0,0.3668281209254182,0.993307586090177,31.0,0.6677427373634561,2
proposed,1,2,30,55.7650991624873,1.8588366387495767,22,20,0.9090909090909091,0.300044811787446,0.5,0.0,0.3854457115650985,0.9753767302902777,35.392304845413264,0.7029331643395911,2
proposed,1,3,30,54.54905648172193,1.8183018827240642,21,19,0.9047619047619048,0.300044811787446,0.5,0.0,0.38842609022082314,0.9693100905839795,37.0,0.6575380966998919,2
